,count,mean,std,min,25%,50%,75%,max,missing
wti,6620.0,72.36274179056404,21.457421382018957,18.84000015258789,54.18000030517578,71.6500015258789,89.55000305175781,127.3499984741211,0
brent,6620.0,78.06077210899421,23.90054804570236,25.270000457763672,60.43000030517578,75.12999725341797,98.16999816894531,127.77999877929688,0
exchange,6620.0,1191.4320833827198,130.4997283176869,0.11025399714708328,1114.2350000000001,1155.4850048828125,1266.28,1570.1,0
domestic_price,6620.0,1663.4970287009066,195.08288182052493,1247.58,1521.835,1647.335,1821.43,2144.9,0
risk_index,6620.0,0.019613798281855867,0.11202297251413379,0.0,0.0,0.0,8.26257013314246e-52,1.0,0
news_risk_index,6620.0,0.0017506042296072512,0.036737665796398415,0.0,0.0,0.0,0.0,0.7726,0
domestic_return,6620.0,2.8605766605813983e-05,0.001767727711622903,-0.023434392539885995,-0.000442375106383619,-6.252455262312218e-06,0.0005199195762652931,0.03195535252154724,0
volatility_7d,6620.0,0.0004956717313666158,0.00086102932535853,0.0,0.00014532325262195728,0.0002712954666744947,0.0005145544327175277,0.014333213687061832,0
domestic_ma7,6620.0,1663.3495862897423,194.86764983511148,1248.042857142857,1521.2917857142857,1647.3085714285714,1821.8675,2135.2228571428573,0
domestic_ma30,6620.0,1662.8086015283027,193.44893569616593,1254.5763333333334,1518.7861666666668,1646.7048333333335,1816.5118333333332,2112.294,0
