lag_days,wti_to_domestic_corr,brent_to_domestic_corr,risk_to_domestic_corr
0,0.03968738407847026,0.03264312980533487,0.13339916861795498
1,0.05578693345208249,0.05769812948457307,0.1388599819452283
2,0.060353523386543775,0.07690018298102945,0.144531226167399
3,0.06587359654522482,0.08113008045466083,0.14994375304165294
4,0.060133819703114266,0.0789770766371422,0.1551618994972105
5,0.048029566400363766,0.06791196943091138,0.16018182716617896
6,0.05158872061178657,0.08589646680653404,0.16492211480240268
7,0.06009001320972147,0.10781682061709573,0.16936533764875242
8,0.0761082561061706,0.12048645597902183,0.17347668789749116
9,0.06782978898314117,0.11764689052595986,0.17725265399033724
10,0.06077089460937876,0.10670554790084043,0.1807854449152856
11,0.059773676911227064,0.09771519741916035,0.18374521405020292
12,0.053669820368978285,0.10017486677061954,0.1862124333671112
13,0.05307678356868827,0.1151806351274849,0.18814147640624063
14,0.06589118295483282,0.12902901446826176,0.18961023250576367
15,0.06400511343473562,0.12137912310866676,0.19059037784182048
16,0.05473903860618682,0.11088302993632071,0.1911249582826603
17,0.04885585461784182,0.10126436063884477,0.19131459555643943
18,0.043382512137794975,0.09522195421081368,0.19101463703291388
19,0.04040545482051398,0.08458212914519446,0.19032506573675284
20,0.04351766642672897,0.09674538409231809,0.18927331133874611
21,0.05144833522675393,0.10652579059431265,0.18792393033089513
22,0.05604335113569209,0.11334445136759233,0.1863191556110792
23,0.045055961661845334,0.09150321500628002,0.18450615987526833
24,0.04556658036423788,0.09852889980650052,0.18253358763151914
25,0.04017142971688658,0.08586023193755853,0.18044276810008208
26,0.03982431140906226,0.08221813230713715,0.17827105199017362
27,0.041730507721391315,0.07838098618436155,0.1760477914139413
28,0.040224899230653734,0.08509923930382636,0.17381500347947146
29,0.04143472397624784,0.08927553828612626,0.17161989578851944
30,0.03241780847232435,0.07781469118881186,0.1695596050217592
